;word;part_of_speech;Pozitivitate;Negativitate;Furie;Anticipare;Dezgust;Frica;Bucurie;Tristete;Surpriza;Incredere;wn_synset_id
2;lovi repetat;Expresie;0;1;1;0;0;1;0;0;0;0;ENG30-01398919-v
128;trimitere în judecată;Expresie;0;1;1;0;0;1;0;1;0;0;DEX
191;lovit în mod repetat;Expresie;0;1;0;0;0;1;0;1;0;0;OTHER
208;în mod voluntar;Expresie;1;0;0;0;0;0;0;0;0;1;DEX
251;dispus să accepte;Expresie;1;0;0;0;0;0;0;0;0;1;OTHER
277;semnal de alarmă;Expresie;0;1;0;0;0;1;0;0;1;0;ENG30-06803157-n
325;a calcula greșit;Expresie;0;1;0;0;0;0;0;0;0;0;OTHER
376;a strica cheful;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
414;da savoare;Expresie;1;0;0;0;0;0;0;0;0;0;ENG30-00560122-v
420;zi de naștere;Expresie;1;0;0;1;0;0;1;0;1;0;ENG30-15250178-n
464;lua apărarea;Expresie;1;0;0;0;0;1;0;0;0;0;ENG30-00895304-v
465;ține partea;Expresie;1;0;0;0;0;1;0;0;0;0;ENG30-00895304-v
481;fără vlagă;Expresie;0;1;0;0;0;0;0;0;0;0;OTHER
497;plin de regrete;Expresie;1;0;0;0;0;0;0;0;0;1;ENG30-01150475-a
498;plin de remușcări;Expresie;1;0;0;0;0;0;0;0;0;1;ENG30-01150475-a
499;plin de căință;Expresie;1;0;0;0;0;0;0;0;0;1;ENG30-01150475-a
500;plin de părere de rău;Expresie;1;0;0;0;0;0;0;0;0;1;ENG30-01150475-a
529;prins în flagrant delict;Expresie;0;1;1;0;0;1;0;0;0;0;DEX
570;depozit de muniții;Expresie;0;0;0;0;0;0;0;0;0;1;ENG30-02743207-n
571;magazie militară;Expresie;0;0;0;0;0;0;0;0;0;1;ENG30-02743207-n
590;grup de oameni;Expresie;1;0;0;0;0;0;0;0;0;1;ENG30-07975026-n
688;cu atenție;Expresie;1;0;0;0;0;0;0;0;0;0;ENG30-00196417-r
705;boală arterială coronariană;Expresie;0;1;0;0;0;1;0;1;0;0;ENG30-14108713-n
706;boală coronariană;Expresie;0;1;0;0;0;1;0;1;0;0;ENG30-14108713-n
764;mers înainte;Expresie;1;0;0;1;0;1;1;0;1;0;ENG30-00249501-n
776;întâmplare fericită;Expresie;1;0;0;0;0;0;1;0;1;0;OTHER
866;copil din flori;Expresie;0;1;0;0;1;0;0;1;0;0;ENG30-09842823-n
