;word;part_of_speech;Positivity;Negativity;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust;wn_synset_id
0;se izbi;Verb;0;1;0;0;0;1;0;1;1;0;ENG30-01561819-v
1;bate;Verb;0;1;1;0;0;1;0;0;0;0;ENG30-01398919-v
3;abac;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-02666196-n
4;numărătoare;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-02666196-n
5;abandon;Noun;0;1;0;0;0;1;0;1;0;0;ENG30-04885398-n
6;abandon;Noun;0;1;1;0;0;1;0;1;1;0;ENG30-00055315-n
7;abandonare;Noun;0;1;1;0;0;1;0;1;1;0;ENG30-00055315-n
8;părăsire;Noun;0;1;1;0;0;1;0;1;1;0;ENG30-00055315-n
9;dezertare;Noun;0;1;1;0;0;1;0;1;1;0;ENG30-00055315-n
10;renunțare;Noun;0;1;1;0;0;1;0;1;1;0;ENG30-00055315-n
11;abate;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-02566528-v
12;călca;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-02566528-v
13;contraveni;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-02566528-v
14;încălca;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-02566528-v
15;nesocoti;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-02566528-v
16;viola;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-02566528-v
17;abatere;Noun;0;0;0;0;0;0;0;1;0;0;ENG30-00350380-n
18;abătut;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-02281938-a
19;demoralizat;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-02281938-a
20;descurajat;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-02281938-a
21;aberant;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-02570643-a
22;absurd;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-02570643-a
23;ilogic;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-02570643-a
24;stupid;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-02570643-a
25;aberație;Noun;0;1;0;0;1;0;0;0;0;0;ENG30-14503665-n
26;abia;Adverb;0;1;0;0;0;0;0;1;0;0;ENG30-00091678-r
27;anevoie;Adverb;0;1;0;0;0;0;0;1;0;0;ENG30-00091678-r
28;isteț;Adjective;1;0;0;0;0;0;0;0;0;1;ENG30-00438909-a
29;abil;Adjective;1;0;0;0;0;0;0;0;0;1;ENG30-00438909-a
30;iscusit;Adjective;1;0;0;0;0;0;0;0;0;1;ENG30-00438909-a
31;abilitate;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05200169-n
32;destoinicie;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05200169-n
33;abis;Noun;0;1;0;0;0;1;0;1;0;0;ENG30-09186359-n
34;genune;Noun;0;1;0;0;0;1;0;1;0;0;ENG30-09186359-n
35;hău;Noun;0;1;0;0;0;1;0;1;0;0;ENG30-09186359-n
36;abisal;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-01499155-a
37;abject;Adjective;0;1;0;0;1;0;0;0;0;0;ENG30-01228159-a
38;mizerabil;Adjective;0;1;0;0;1;0;0;0;0;0;ENG30-01228159-a
39;nedemn;Adjective;0;1;0;0;1;0;0;0;0;0;ENG30-01228159-a
40;abominabil;Adjective;0;1;0;0;1;1;0;0;0;0;ENG30-01126291-a
